© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Humoral Immune Response,Protein Synthesis	Quantity of IgG	3.65E-09	CCR7,CD80,CLEC4D,CLEC4E,CXCL10,FPR2,IFIT2,IL2RA,IRF4,JAK3,PTGS2,RSAD2,SIGLEC10,TNFSF10	14
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	Adhesion of lymphocytes	3.66E-09	CCL19,CCL20,CCL4,CCR7,CD80,CXCL13,IL1B,IL7R,JAK3,MYO1G,THBS1	11
Cell Morphology	Polarization of helper T lymphocytes	4.17E-09	EBI3,IL12B,IL1A,IL1B,IRF4,SLAMF1,STAT4	7
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cell movement of monocytes	4.20E-09	CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CXCL10,CXCL3,CXCL8,FPR2,IL1B,MDK,S100A12	13
Lymphoid Tissue Structure and Development	Frequency of lymphocytes	4.32E-09	CCL19,CCL20,CCR7,CD226,CD70,CRLF2,CXCL10,EBI3,GCH1,IDO1,IL1B,TNFSF10	12
Cellular Function and Maintenance	Ion homeostasis of cells	4.80E-09	C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL1A,IL1B,JAK3,KCNJ5,MT2A,SLC8A3	24
Inflammatory Response	Proinflammatory response	5.06E-09	CCL4,CCL5,CXCL10,CXCL3,CXCL8,IL1A,IL1B	7
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Active stage arthritis	5.06E-09	CD80,IL12B,IL1A,IL1B,JAK3,PDE4B,PTGS2	7
Cellular Movement	Cell movement of leukemia cell lines	5.14E-09	CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CXCL1,CXCL10,CXCL13,CXCL8,FPR2,WNT5A	12
Inflammatory Disease,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Relapsing-remitting multiple sclerosis	5.15E-09	EPSTI1,IFIT1,IL2RA,IRF7,ISG15,KCNA2,LAG3,MX1,PTGS2,RSAD2	10
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of CD4+ T-lymphocytes	6.11E-09	ADORA2A,AIM2,CCL5,CCR7,CD70,CXCL10,IL15RA,IL27,IRF4,ITGB8,JAK3,LAG3,SIGLEC10,SOCS3,THBS1	15
Cell Death and Survival	Cell viability	6.15E-09	ADORA2A,AIM2,APOBEC3A,CCL4,CCL5,CCR7,CD38,CD80,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,EREG,GCH1,HSH2D,IDO1,IL1A,IL1B,IL27,IL7R,IRF4,JAK3,MCOLN2,MDK,MX1,NAMPT,NKX3-1,PLAC8,PRAME,PTGS2,SERPINB2,SLC1A2,SLC8A3,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFSF10,VCAN,WNT5A,XAF1	43
Tissue Development	Growth of epithelial tissue	6.21E-09	ADORA2A,AIM2,ANGPTL4,CCL5,CCR7,CXCL1,CXCL10,CXCL3,CXCL8,EREG,FPR2,HPN,IL1A,IL1B,ITGB8,MDK,NCF1,NKX3-1,PLXNA4,PTGIR,PTGS2,SNAI1,SOCS3,THBS1,TNFAIP6,TNFSF10,WNT5A	27
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of monocytes	6.60E-09	CCL4,CCL5,CCL8,CD80,CXCL8,IL1B,IL27,S100A12,TNFSF10	9
Cellular Function and Maintenance	Function of phagocytes	6.87E-09	AIM2,CCL5,CCR7,CLEC4E,CXCL10,CXCL8,DDX58,FPR2,IDO1,IL12B,IL1B,IL27,JAK3,PTGS2,SLAMF1	15
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Transmigration of granulocytes	7.29E-09	ADORA2A,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,IL1B,SOCS3	9
Cell Morphology	Polarization of CD4+ T-lymphocytes	7.75E-09	CCL19,CCR7,IL1A,IL1B,IRF4,STAT4	6
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Rheumatic disease of joint	8.02E-09	CD80,CXCL8,IL12B,IL1A,IL1B,JAK3,MN1,PAX5,PTGIR,PTGS2,SLC1A2,SOCS3,TNFSF10	13
Organismal Injury and Abnormalities,Renal and Urological Disease	Failure of kidney	8.34E-09	ADORA2A,CD80,CFB,CLEC4E,CXCL8,IDO1,IL2RA,IRF4,MDK,PDE4B,PTGS2,SLC2A6,SOCS2,THBS1,WNT5A	15
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	Accumulation of mononuclear leukocytes	9.03E-09	ADORA2A,CCL5,CCR7,CD70,CD80,CXCL10,CXCL2,CXCL3,ENPP2,IL12B,IL2RA,TNFSF10	12
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Neuromuscular disease with neuropathy	9.47E-09	ADORA2A,CCL5,CD38,CXCL1,EPSTI1,GCH1,IDO1,IFIT1,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,KCNA2,LAG3,MX1,PDE4B,PTGS2,RSAD2	21
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Differentiation of CD4+ T-lymphocytes	1.01E-08	CD226,CLEC4E,CXCL1,DDX58,IL1B,IL27,IL2RA,IL7R,IRF4,SOCS2,SOCS3,STAT4	12
Dermatological Diseases and Conditions,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Lymphoproliferative disorder of the skin	1.01E-08	C1QTNF1,CCL8,CCR7,CXCL10,CXCL13,IDO1,IFITM1,IL2RA,IRF4,IRF7,ISG15,ISG20,JAK3,MX1,OASL,PLXNA4,RSAD2,STAT4	18
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Migration of PBMCs	1.04E-08	CCL19,CCL4,CCL5,CCR7,CXCL10,CXCL13,CXCL8	7
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Influx of granulocytes	1.13E-08	ADORA2A,CCL4,CXCL1,CXCL2,CXCL5,IL1B,IRF4,IRF7	8
Cellular Function and Maintenance	Function of antigen presenting cells	1.18E-08	AIM2,CCL5,CCR7,CLEC4E,CXCL10,DDX58,FPR2,IDO1,IL12B,IL1B,IL27,JAK3,PTGS2,SLAMF1	14
Cellular Movement	Homing of tumor cell lines	1.18E-08	CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CXCL1,CXCL13,CXCL3,CXCL8,FPR2,MDK	12
Cellular Movement,Hematological System Development and Function	Extravasation of leukocytes	1.28E-08	CCL4,CCL5,CXCL1,CXCL8,ENPP2,IL1B,MDK,TNFAIP6	8
Nutritional Disease,Organismal Injury and Abnormalities	Obesity	1.28E-08	ADGRE1,ADORA2A,ANGPTL4,C1QTNF1,CA12,CCL5,CD38,CXCL10,CXCL2,CXCL8,CYP2E1,EBI3,ENPP2,G0S2,HPN,IL1B,IL27,ISG20,JAK3,NAMPT,PDE4B,PTGS2,SOCS3,THBS1	24
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of natural killer cells	1.31E-08	ADORA2A,CALHM6,CD70,CD80,EBI3,IL12B,IL15RA,IL2RA,ISG15,JAK3	10
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Binding of T lymphocytes	1.36E-08	CCL19,CCL20,CCL4,CCL5,CCR7,CD80,CXCL10,IL1B,IL7R,JAK3,THBS1	11
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Trafficking of lymphocytes	1.44E-08	CCL4,CCL5,CCR7,CXCL10,CXCL13,CXCL3,ENPP2	7
Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Atopic disease	1.46E-08	CCL20,CCL23,CCL5,CXCL8,FPR2,IFI27,IL1A,IL1B,IL2RA,JAK3,MX1,PDE4B,PTGS2,SOCS2,SOCS3,TNFSF10	16
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	Accumulation of phagocytes	1.54E-08	CCL5,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,IL12B,IL1B,IRF4,THBS1,TNFSF10	12
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemoattraction of granulocytes	1.68E-08	CCL5,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8	6
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Influx of phagocytes	1.81E-08	CCL4,CXCL1,CXCL2,CXCL5,IL12B,IL1B,IRF4,IRF7	8
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Hematopoiesis of phagocytes	1.92E-08	CCL23,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ITGB8,JAK3,MDK,PLAC8,SIGLEC10,TNFSF10	14
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Mobilization of phagocytes	2.12E-08	CCL20,CCL4,CXCL2,CXCL3,CXCL8,IL1B	6
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Ulcerative colitis	2.24E-08	ADORA2A,CD80,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,IL12B,IL1B,JAK3,PAX5,PDE4B,PTGS2,SOCS3	14
Cardiovascular System Development and Function,Organismal Development	Angiogenesis	2.25E-08	ADORA2A,ANGPTL4,CCL5,CCR7,CEMIP,CFB,CXCL1,CXCL10,CXCL2,CXCL5,CXCL8,ENPP2,EREG,FPR2,IL1A,IL1B,IL27,ISG15,ITGB8,MDK,NCF1,PDPN,PLXNA4,PTGES,PTGIR,PTGS2,S100A12,SNAI1,SOCS3,THBS1,TNFSF10,WNT5A	32
Cellular Movement,Hematological System Development and Function	Extravasation of phagocytes	2.31E-08	CCL4,CCL5,CXCL1,CXCL8,IL1B,MDK,TNFAIP6	7
Connective Tissue Disorders,Organismal Injury and Abnormalities	Damage of connective tissue	2.31E-08	CD70,CFB,CXCL8,IL1A,IL1B,NAMPT,PTGIR,PTGS2,TNFAIP6,VCAN	10
Infectious Diseases,Organismal Injury and Abnormalities	Replication of Herpesviridae	2.38E-08	CXCL10,CXCL3,DDX58,IL1B,ISG20,MX2,OASL,RSAD2,ZBP1	9
Cardiovascular System Development and Function	Development of vasculature	2.45E-08	ADAM19,ADORA2A,ANGPTL4,CCL5,CCR7,CEMIP,CFB,CXCL1,CXCL10,CXCL2,CXCL5,CXCL8,CYP2E1,ENPP2,EREG,FPR2,IL1A,IL1B,IL27,ISG15,ITGB8,MDK,NCF1,PDPN,PLXNA4,PTGES,PTGIR,PTGS2,S100A12,SNAI1,SOCS3,THBS1,TNFSF10,WNT5A	34
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	Accumulation of T lymphocytes	2.48E-08	ADORA2A,CCL5,CCR7,CD70,CD80,CXCL10,CXCL3,IL12B,IL2RA,TNFSF10	10
Organismal Injury and Abnormalities	Wound	2.52E-08	ADORA2A,CCR7,CD38,CFB,EHF,EREG,IL1A,MDK,MT2A,PTGES,PTGS2,SERPINB2,THBS1,WNT5A	14
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Differentiation of Th17 cells	2.65E-08	CLEC4E,CXCL1,DDX58,IL1B,IL27,IL2RA,IL7R,IRF4,SOCS3,STAT4	10
Cardiovascular Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Vasculitis	2.65E-08	ADORA2A,CD80,CFB,CXCL8,IL12B,IL1A,IL1B,IL2RA,JAK3,STAT4	10
Organismal Injury and Abnormalities,Organismal Survival	Organismal death	2.67E-08	ADAM19,ADORA2A,AIM2,ANGPTL4,APOBEC3A,CA12,CD226,CD38,CD70,CEMIP,CFB,CLEC4E,CRLF2,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,ENPP2,FPR2,GCH1,HESX1,IDO1,IFIT2,IL12B,IL15RA,IL1A,IL1B,IL2RA,IRF7,ISG15,ITGB8,KCNA2,MDK,MN1,NAMPT,NCF1,PAX5,PDE4B,PDPN,PTGES,PTGIR,PTGS2,SLC1A2,SNAI1,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,UNC13A,VCAN,WNT5A,ZBP1	57
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cell movement of monocyte-derived dendritic cells	2.68E-08	CCL19,CCL4,CCL5,CCR7,CD38,CXCL10,FPR2	7
Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Migration of CD4+ T-lymphocytes	2.68E-08	CCL19,CCL20,CCL4,CCL5,CXCL1,CXCL10,IL12B	7
Cellular Movement	Cell movement of lymphoma cell lines	2.82E-08	CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CXCL13,CXCL5,CXCL8	9
Cardiovascular Disease,Connective Tissue Disorders,Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Systemic sclerosis	2.84E-08	CCL20,CCL4,CD226,EBI3,FPR2,IL1B,ITGB8,JAK3,PTGIR,THBS1	10
Cancer,Organismal Injury and Abnormalities	Abdominal cancer	2.89E-08	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WFDC21P,WNT5A,XAF1,ZBP1	139
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemoattraction of monocytes	2.91E-08	CCL4,CCL5,CXCL10,CXCL8,FPR2	5
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	Accumulation of lymphocytes	2.92E-08	ADORA2A,CCL5,CCR7,CD70,CD80,CXCL10,CXCL3,ENPP2,IL12B,IL2RA,TNFSF10	11
Cellular Movement	Cell movement of muscle cells	2.98E-08	CCL5,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,ENPP2,NAMPT,PTGIR,PTGS2,THBS1,TNFSF10,VCAN	13
Cellular Movement	Extravasation of myeloid cells	3.10E-08	CCL4,CCL5,CXCL1,CXCL8,IL1B,MDK,TNFAIP6	7
Inflammatory Response	TH1 immune response	3.12E-08	CCL5,CXCL10,CXCL8,EBI3,IL12B,IL1B,NCF1,STAT4	8
Cancer,Organismal Injury and Abnormalities	Non-melanoma solid tumor	3.12E-08	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BCL2L14,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,G0S2,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WNT5A,XAF1,ZBP1	144
Cellular Function and Maintenance	Engulfment of leukocytes	3.53E-08	CCL19,CCL5,CCR7,CD38,CXCL10,HSH2D,IL12B,IL1A,IL1B,ISG15,MYO1G,SIGLEC1,THBS1	13
Cancer,Organismal Injury and Abnormalities	Metastasis of tumor cell lines	3.61E-08	ADORA2A,ANGPTL4,CALHM6,CCL8,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,IL1B,IRF7,ISG15,PTGS2,SNAI1,THBS1,VCAN,WFDC21P,WNT5A	19
Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Atopic dermatitis	3.96E-08	CCL20,CCL23,CCL5,CXCL8,IFI27,IL1A,IL1B,IL2RA,JAK3,MX1,PDE4B,PTGS2,SOCS2,TNFSF10	14
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemoattraction of mononuclear leukocytes	4.08E-08	CCL4,CCL5,CXCL10,CXCL13,CXCL8,FPR2	6
Immunological Disease,Inflammatory Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Experimental autoimmune uveitis	4.08E-08	CCL5,CLEC4E,IL12B,IL1B,SIGLEC1,THBS1	6
Organismal Injury and Abnormalities,Respiratory Disease	Respiratory distress	4.26E-08	CCL5,CCR7,CLEC4E,CMPK2,CXCL10,CXCL8,IL1A,IL1B,JAK3,NAMPT,NCF1,PTGS2,S100A12,STAT4	14
Cellular Movement	Chemotaxis of tumor cell lines	4.53E-08	CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CXCL1,CXCL13,CXCL3,CXCL8,FPR2	11
Inflammatory Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Uveitis	4.56E-08	CA12,CCL5,CLEC4E,IL12B,IL1B,JAK3,PTGS2,SIGLEC1,THBS1	9
Cellular Movement	Extravasation of cells	4.56E-08	CCL4,CCL5,CXCL1,CXCL8,ENPP2,IL1B,MDK,TNFAIP6,WNT5A	9
Cellular Function and Maintenance	Engulfment of cells	4.85E-08	ADORA2A,CCL19,CCL4,CCL5,CCR7,CD38,CXCL10,FPR2,HSH2D,IL12B,IL15RA,IL1A,IL1B,IRF7,ISG15,MYO1G,SIGLEC1,SIGLEC10,THBS1,TNFSF10,WNT5A	21
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Migration of monocyte-derived dendritic cells	5.00E-08	CCL19,CCL4,CCL5,CCR7,CD38,FPR2	6
Cell-To-Cell Signaling and Interaction,Cellular Movement,Immune Cell Trafficking	Attraction of lymphocytes	5.00E-08	CCL19,CCL4,CCL5,CXCL10,CXCL13,CXCL8	6
Cancer,Organismal Injury and Abnormalities	Tumorigenesis of tissue	5.08E-08	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BCL2L14,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,G0S2,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WNT5A,XAF1,ZBP1	143
Cellular Growth and Proliferation,Hematological System Development and Function	Inhibition of blood cells	5.32E-08	ADORA2A,CCL4,CD80,IDO1,IL27,LAG3,PTGS2,TNFSF10,WNT5A	9
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Tissue Morphology	Damage of cartilage tissue	5.32E-08	CD70,CFB,CXCL8,IL1A,IL1B,NAMPT,PTGIR,PTGS2,TNFAIP6	9
Cancer,Organismal Injury and Abnormalities	Metastasis of cells	5.49E-08	ADORA2A,ANGPTL4,CALHM6,CCL8,CLEC4D,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,IL1B,IRF7,ISG15,PTGS2,SNAI1,THBS1,VCAN,WFDC21P,WNT5A	20
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Differentiation of antigen presenting cells	5.49E-08	CXCL10,IL1A,IL1B,IL2RA,IRF4,IRF7,ITGB8,JAK3,MDK,PAX5,PLAC8,SIGLEC10,SOCS3,TNFSF10	14
Cellular Movement	Chemotaxis of germ cell tumor cell lines	5.63E-08	CCL4,CCL5,CXCL3,CXCL8	4
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Attraction of effector lymphocytes	5.63E-08	CCL4,CCL5,CXCL10,CXCL8	4
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Transmigration of neutrophils	5.71E-08	ADORA2A,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,IL1B,SOCS3	8
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Development of phagocytes	5.74E-08	CCL23,CXCL3,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ITGB8,JAK3,MDK,PLAC8,SIGLEC10,TNFSF10	15
Cancer,Organismal Injury and Abnormalities	Extraadrenal retroperitoneal tumor	5.90E-08	ABTB2,ADAM19,ADGRE1,ADORA2A,AIM2,APOBEC3A,BTBD11,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD70,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,ENPP2,EREG,GBP4,HAPLN3,HELZ2,HERC5,IDO1,IFIT3,IFITM1,IL1A,IL1B,IL2RA,ITGB8,JAK3,MDK,MN1,MT1E,MT1G,MYO1G,NCF1,NSUN7,PDE4B,PLAC8,PLXNA4,PRAME,PTGES,PTGS2,S100A12,SERPINB2,SIGLEC1,SLC1A2,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,UNC13A,VCAN,WNT5A	69
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Mobilization of neutrophils	5.93E-08	CCL4,CXCL2,CXCL3,CXCL8,IL1B	5
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Asthma	6.13E-08	ADORA2A,CCL5,CRLF2,CXCL10,CXCL8,FPR2,IL12B,IL1B,IL2RA,PDE4B,PDPN,PTGS2,SOCS2,SOCS3,WNT5A	15
Cancer,Organismal Injury and Abnormalities	Intraabdominal organ tumor	6.66E-08	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WFDC21P,WNT5A,XAF1,ZBP1	138
